DATE OF DISASTER,TYPE OF DISASTER,COUNTIES INVOLVED
Aug-17,Wildfire (Helena Fire),Trinity
Jul-17,Wildfires,Modoc
Jul-17,Wildfire (Detwiler Fire),Mariposa
Jul-17,Wildfire (Alamo & Whittier Fire),Santa Barbara
Jul-17,Wildfire (Wall Fire),Butte
Feb-17,Lake Oroville Dam Erosion and Flooding,"Butte, Sutter, Yuba"
Jan-17,Storm System,"Alameda, Alpine, Amador, Butte, Calaveras, Contra Costa, Del Norte, El Dorado, Fresno, Humboldt, Inyo, Kern, Kings, Lake, Lassen, Los Angeles, Madera, Marin, Mendocino, Merced, Modoc, Mono, Monterey, Napa, Nevada, Orange, Placer, Plumas, Riverside, Sacramento, San Benito, San Bernardino, San Diego, San Francisco, San Luis Obispo, San Mateo, Santa Barbara, Santa Clara, Santa Cruz, Shasta, Sierra, Siskiyou, Solano, Sonoma, Stanislaus, Sutter, Tehama, Trinity, Tulare, Tuolumne, Ventura, Yolo, Yuba"
Dec-16,Rainstorms,"Del Norte, Humboldt, Mendocino, Santa Cruz, Shasta, Trinity"
16-Aug-16,Wildfire (Blue Cut Fire),San Bernardino
13-Aug-16,Wildfire (Clayton Fire),Lake
13-Aug-16,Wildfire (Chimney Fire),San Luis Obispo
22-Jul-16,Wildfire (Sand Fire),Los Angeles
22-Jul-16,Wildfire (Soberanes Fire),Monterey
24-Jun-16,Wildfire (Erskine Fire),Kern
December 2015 – January 2016,Rainstorms (roadway damage),City of Carlsbad and City of Del Mar
23-Oct-15,Aliso Canyon natural gas leak,Los Angeles
Oct-15,Rainstorms,"Inyo, Kern, Los Angeles"
13-Sep-15,Wildfire (Valley Fire),Lake and Napa
11-Sep-15,Wildfire (Butte Fire),Amador and Calaveras
"June-July, 2015",Wildfires,All 58 counties
18-Jul-15,Rainstorms,"Imperial, Kern, Los Angeles, Riverside, San Bernardino, San Diego"
19-May-15,Oil spill,Santa Barbara
6-Feb-15,Winter storms,"Humboldt, Mendocino, Siskiyou"
6-Feb-15,Wildfire,Mono
Dec-14,Winter storms,"Marin, Mendocino, San Mateo, Ventura"
17-Sep-14,Wildfires (King and Boles Fires),El Dorado and Siskiyou
24-Aug-14,Earthquake,"Napa, Solano, Sonoma"
Aug-14,Wildfires,"Amador, Butte, El Dorado, Humboldt, Lassen, Madera, Mariposa, Mendocino, Modoc, Shasta, Siskiyou"
13-May-14,Wildfires,San Diego
Jan-14,Drought,All 58 counties
9-Sep-13,Wildfire,Shasta
17-Aug-13,Wildfire (Rim Fire),"Mariposa, San Francisco, Tuolumne"
7-Aug-13,Wildfire (Silver Fire),Riverside
15-Jul-13,Wildfire (Mountain Fire),Riverside
"May 30-June 11, 2013",Wildfire (Powerhouse Fire),Los Angeles
Dec-12,Rainstorm,San Mateo
Aug-12,Wildfires,"Plumas, Shasta, Tehama"
30-Nov-11,Windstorms,Los Angeles County; City of Rancho Cucamonga
Mar-11,Rainstorms,"Alameda, Amador, Butte, Contra Costa, Del Norte, Humboldt, Madera, Marin, Mariposa, Mendocino, Monterey, San Luis Obispo, Santa Barbara, Santa Cruz, Sierra, Stanislaus, Sutter, Trinity, Tuolumne, Ventura"
11-Mar-11,Tsunami,"Del Norte, Humboldt, Mendocino, San Luis Obispo, San Mateo, Santa Cruz"
Mar-11,Flooding,Modoc
December 2010 – January 2011,Winter storms,"Inyo, Kern, Kings, Los Angeles, Madera, Mariposa, Orange, Riverside, San Bernardino, San Diego, San Luis Obispo, Santa Barbara, Tulare"
Nov-10,Winter storms,Calaveras and Tuolumne
12-Oct-10,Storm damage,Imperial
9-Sep-10,Gas explosion/fire,San Mateo
July-August-September 2010,Wildfires,Kern
4-Apr-10,Earthquake,Imperial
"January 17-21, 2010",Winter storms,"Calaveras, Imperial, Los Angeles, Orange, Riverside, San Bernardino, San Francisco, Siskiyou"
9-Jan-10,Earthquake,Humboldt
"November 12-14, 2009",Mudslides and flooding,Santa Cruz
Oct-09,Wildfire,San Bernardino
August – September 2009,Wildfires,"Los Angeles, Mariposa, Monterey, Placer, San Bernardino, Santa Cruz, Ventura, Yuba"
May-09,Wildfire,Santa Barbara
Nov-08,Wildfires,"Los Angeles, Orange, Riverside, San Bernardino, Santa Barbara"
Oct-08,Wildfires,"Los Angeles, San Bernardino, Ventura"
June – August 2008,Wildfires,"Butte, Inyo, Humboldt, Kern, Mariposa, Mendocino, Monterey, Plumas, Santa Barbara, Santa Cruz, Shasta, Trinity"
May-08,Wildfire,"Santa Clara, Santa Cruz"
Jan-08,Extreme winds and heavy rain,"Butte, Colusa, Del Norte, El Dorado, Glenn, Kings, Mendocino, Placer, Sacramento, San Francisco, Sierra, Sutter, Yolo, Yuba; Cities of Grass Valley and Oakland"
21-Oct-07,Wildfires,"Los Angeles, Orange, Riverside, San Bernardino, San Diego, Santa Barbara, Ventura"
3-Oct-07,Landslide,City of San Diego
Sep-07,Windstorm/rain,Imperial
Sep-07,Wildfire,San Bernardino
Aug-07,Wildfire,Santa Barbara and Ventura
Jun-07,Wildfire,El Dorado
Jan-07,Freeze,All 58 counties
Dec-06,Wildfire,Ventura
Oct-06,Wildfire,Riverside
Sep-06,Wildfire,Ventura
Jul-06,Wildfires,San Bernardino
Apr-06,Severe rainstorms and flooding,"Alameda, Amador, Calaveras, El Dorado, Fresno, Kings, Lake, Madera, Marin, Merced, Napa, Nevada, Placer, San Joaquin, San Mateo, Santa Cruz, Sonoma, Stanislaus, Tulare, Tuolumne"
Dec-05,Severe rainstorms,"Alameda, Alpine, Amador, Butte, Colusa, Contra Costa, Del Norte, El Dorado, Fresno, Humboldt, Kings, Lake, Lassen, Marin, Mendocino, Napa, Nevada, Placer, Plumas, Sacramento, San Joaquin, San Luis Obispo, San Mateo, Santa Cruz, Shasta, Sierra, Siskiyou, Solano, Sonoma, Sutter, Trinity, Tulare, Yolo, Yuba"
Mar-05,Severe rainstorms,"Kern, Los Angeles, Orange, Riverside, San Bernardino, San Diego, Santa Barbara, Ventura"
Jan-05,Storms,"Kern, Los Angeles, Orange, Riverside, San Bernardino, San Diego, Santa Barbara, Ventura"
11-Aug-04,Wildfires,Shasta
3-Jun-04,Flooding,San Joaquin
22-Dec-03,Earthquake,"San Luis Obispo, Santa Barbara"
12-Nov-03,Flash flooding,Los Angeles
October – November 2003,Wildfires,"Los Angeles, Riverside, San Bernardino, San Diego, Ventura"
Sep-01,Wildfire,Calaveras
3-Sep-00,Earthquake,Napa
Dec-98,Freeze 1998-1999,"Fresno, Kern, Kings, Madera, Merced, Monterey, Tulare, Ventura"
2-Feb-98,El Niño,"Alameda, Amador, Butte, Calaveras, Colusa, Contra Costa, Fresno, Glenn, Humboldt, Kern, Kings, Lake, Los Angeles, Marin, Mendocino, Merced, Monterey, Napa, Orange, Riverside, Sacramento, San Benito, San Bernardino, San Diego, San Francisco, San Joaquin, San Luis Obispo, San Mateo, Santa Barbara, Santa Clara, Santa Cruz, Siskiyou, Solano, Sonoma, Stanislaus, Sutter, Tehama, Trinity, Tulare, Ventura, Yolo, Yuba"
December 1996 – January 1997,Floods,"Alameda, Alpine, Amador, Butte, Calaveras, Colusa, Contra Costa, Del Norte, El Dorado, Fresno, Glenn, Humboldt, Kings, Lake, Lassen, Madera, Mariposa, Marin, Merced, Modoc, Mono, Monterey, Napa, Nevada, Placer, Plumas, Sacramento, San Benito, San Francisco, San Joaquin, San Luis Obispo, San Mateo, Santa Clara, Santa Cruz, Shasta, Sierra, Siskiyou, Solano, Sonoma, Stanislaus, Sutter, Tehama, Tuolumne, Trinity, Tulare, Yolo, Yuba"
Oct-96,Firestorms,"Los Angeles, Orange, San Diego"
Feb-95,Late Winter Storms,57 counties (except Del Norte)
Jan-95,Severe Winter Storms,"Alameda, Alpine, Amador, Butte, Colusa, Contra Costa, Del Norte, El Dorado, Fresno, Glenn, Humboldt, Kern, Kings, Lake, Lassen, Los Angeles, Madera, Marin, Mendocino, Modoc, Monterey, Napa, Nevada, Orange, Placer, Plumas, Riverside, Sacramento, San Bernardino, San Diego, San Luis Obispo, San Mateo, Santa Barbara, Santa Clara, Santa Cruz, Shasta, Siskiyou, Solano, Sonoma, Sutter, Tehama, Trinity, Ventura, Yolo, Yuba"
26-Dec-94,Earthquake,Humboldt
15-Aug-94,Fire,San Luis Obispo
17-Jan-94,Earthquake,"Los Angeles, Orange, Ventura"
"October 27 & 28, 1993",Firestorms,"Los Angeles, Orange, Riverside, San Bernardino, San Diego, Ventura"
Dec-92,Late Winter Storms,"Alpine, Contra Costa, Fresno, Humboldt, Imperial, Lassen, Los Angeles, Madera, Mendocino, Modoc, Monterey, Napa, Orange, Plumas, Riverside, San Bernardino, San Diego, Santa Barbara, Sierra, Siskiyou, Sonoma, Tehama, Trinity, Tulare"
"August 16 and 20, 1992",Fires (2),"Calaveras, Shasta"
28-Jun-92,Earthquakes,"Riverside, San Bernardino"
29-Apr-92,Civil Disorder,Los Angeles
"April 25 & 27, 1992",Earthquakes,Humboldt
Feb-92,Winter Storms,"Kern, Los Angeles, Orange, San Bernardino, Ventura"
20-Oct-91,Fire,Alameda
,,
,,
,,
,,
,,
,,
,,
,,
SOCIAL MEDIA,,
Facebook  Twitter  Instagram  LinkedIn  YouTube  BOE RSS Feed,,
