,CECPlantID,PlantName,Capacity_Latest,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,COUNTY,ALR_VALB,EAL_VALB,EAL_VALT,RISK_VALUE,RISK_SCORE,RISK_SPCTL,EAL_SPCTL,BUILDVALUE,AREA,DISASTER,DISASTER_DATE
10,S9307,Petaluma Solar Millennium Fund LLC_(Petaluma Solar #1101),1.5,38.25,-122.75,2.4370000000000003,3.6519999999999997,4.6450000000000005,6.299,7.325,8.24,7.970000000000001,6.894,5.75,4.3149999999999995,2.934,2.131,5.2219999999999995,SONOMA,0.002069308893296,216471444.88535005,332662982.07867235,379595361.49068016,99.17276487432387,81.03448275862067,81.03448275862067,104610503336.0,1785.7891077,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Storms, Drought, Drought – Russian River Watershed, Fires (Glass and Zogg Fires), Fires, High winds and wildfires, Wildfires (Kincade and Tick Fires), Winter storms, Winter storms, Wildfires (Tubbs & Atlas Fire), Storm System, Wildfires, Wildfires, Earthquake, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-04-21 00:00:00, 2020-09-27 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2019-10-25 00:00:00, 2019-02-01 00:00:00, 2019-01-01 00:00:00, 2017-10-01 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-08-24 00:00:00, 2014-01-01 00:00:00, "
11,S9308,Petaluma Solar Millennium Fund LLC_(Petaluma Solar #1102),1.5,38.25,-122.75,2.4370000000000003,3.6519999999999997,4.6450000000000005,6.299,7.325,8.24,7.970000000000001,6.894,5.75,4.3149999999999995,2.934,2.131,5.2219999999999995,SONOMA,0.002069308893296,216471444.88535005,332662982.07867235,379595361.49068016,99.17276487432387,81.03448275862067,81.03448275862067,104610503336.0,1785.7891077,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Storms, Drought, Drought – Russian River Watershed, Fires (Glass and Zogg Fires), Fires, High winds and wildfires, Wildfires (Kincade and Tick Fires), Winter storms, Winter storms, Wildfires (Tubbs & Atlas Fire), Storm System, Wildfires, Wildfires, Earthquake, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-04-21 00:00:00, 2020-09-27 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2019-10-25 00:00:00, 2019-02-01 00:00:00, 2019-01-01 00:00:00, 2017-10-01 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-08-24 00:00:00, 2014-01-01 00:00:00, "
12,S0528,Cottonwood Carport Solar,1.0,38.25,-122.75,2.4370000000000003,3.6519999999999997,4.6450000000000005,6.299,7.325,8.24,7.970000000000001,6.894,5.75,4.3149999999999995,2.934,2.131,5.2219999999999995,MARIN,0.001486434557882,93304000.8230801,122042804.68086688,124917718.49677658,96.02290804963408,55.172413793103445,58.620689655172406,62770338814.0,836.53731915,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Winter Storms, Storms, Drought, Drought, Fires, High winds and wildfires, Winter storms, Winter storms, Storm System, Wildfires, Wildfires, Winter storms, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-12-01 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-07-08 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2019-02-01 00:00:00, 2019-01-01 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-12-01 00:00:00, 2014-01-01 00:00:00, "
13,S9068,Market & Second Inc/Real Energy,1.0,37.75,-122.25,2.52,3.682,4.706,6.135,6.705,7.301,6.5329999999999995,5.795,5.2219999999999995,4.1,2.961,2.253,4.829,SAN FRANCISCO,0.001399011654038,216666906.6264225,306717285.48076767,336994912.77255523,98.91823098950049,77.58620689655173,79.3103448275862,154871409399.0,234.25501281,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Storms, Drought, Fires, High winds and wildfires, Storm System, Wildfires, Wildfires, Drought, Wildfire (Rim Fire), ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-01-01 00:00:00, 2013-08-17 00:00:00, "
14,S9113,Fremont Group Inc.  50 Beale/DG Cogen Partners LLC,1.2,37.75,-122.25,2.52,3.682,4.706,6.135,6.705,7.301,6.5329999999999995,5.795,5.2219999999999995,4.1,2.961,2.253,4.829,SAN FRANCISCO,0.001399011654038,216666906.6264225,306717285.48076767,336994912.77255523,98.91823098950049,77.58620689655173,79.3103448275862,154871409399.0,234.25501281,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Storms, Drought, Fires, High winds and wildfires, Storm System, Wildfires, Wildfires, Drought, Wildfire (Rim Fire), ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-01-01 00:00:00, 2013-08-17 00:00:00, "
15,S9064,Fremont Group  50 Beale/DG Cogen Partners LLC,1.0,37.75,-122.25,2.52,3.682,4.706,6.135,6.705,7.301,6.5329999999999995,5.795,5.2219999999999995,4.1,2.961,2.253,4.829,SAN FRANCISCO,0.001399011654038,216666906.6264225,306717285.48076767,336994912.77255523,98.91823098950049,77.58620689655173,79.3103448275862,154871409399.0,234.25501281,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Storms, Drought, Fires, High winds and wildfires, Storm System, Wildfires, Wildfires, Drought, Wildfire (Rim Fire), ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-01-01 00:00:00, 2013-08-17 00:00:00, "
16,S9131,Equity Office Property,1.5,37.75,-122.25,2.52,3.682,4.706,6.135,6.705,7.301,6.5329999999999995,5.795,5.2219999999999995,4.1,2.961,2.253,4.829,SAN FRANCISCO,0.001399011654038,216666906.6264225,306717285.48076767,336994912.77255523,98.91823098950049,77.58620689655173,79.3103448275862,154871409399.0,234.25501281,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Storms, Drought, Fires, High winds and wildfires, Storm System, Wildfires, Wildfires, Drought, Wildfire (Rim Fire), ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-01-01 00:00:00, 2013-08-17 00:00:00, "
17,S9140,Southeast Wastwater Treatment Plant/CCSF,2.0,37.75,-122.25,2.52,3.682,4.706,6.135,6.705,7.301,6.5329999999999995,5.795,5.2219999999999995,4.1,2.961,2.253,4.829,SAN FRANCISCO,0.001399011654038,216666906.6264225,306717285.48076767,336994912.77255523,98.91823098950049,77.58620689655173,79.3103448275862,154871409399.0,234.25501281,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Storms, Drought, Fires, High winds and wildfires, Storm System, Wildfires, Wildfires, Drought, Wildfire (Rim Fire), ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-01-01 00:00:00, 2013-08-17 00:00:00, "
18,S9065,General Chemical Corp/Chevron Energy Solutions,1.0,37.75,-122.25,2.52,3.682,4.706,6.135,6.705,7.301,6.5329999999999995,5.795,5.2219999999999995,4.1,2.961,2.253,4.829,CONTRA COSTA,0.001928472955774,421295962.02416176,596515812.6628598,661562637.584107,99.58638243716192,87.93103448275862,87.93103448275862,218460912694.0,812.02574349,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Storms, Drought, Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires, High winds and wildfires, Storm System, Wildfires, Wildfires, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-05-10 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-01-01 00:00:00, "
19,S0665,MCE Richmond Solar PV Project,10.5,37.75,-122.25,2.52,3.682,4.706,6.135,6.705,7.301,6.5329999999999995,5.795,5.2219999999999995,4.1,2.961,2.253,4.829,CONTRA COSTA,0.001928472955774,421295962.02416176,596515812.6628598,661562637.584107,99.58638243716192,87.93103448275862,87.93103448275862,218460912694.0,812.02574349,"Severe winter storms, Severe winter storms, Severe winter storms, Severe winter storms, Storms, Drought, Drought – Klamath River Watershed, Sacramento-San Joaquin Delta Watershed, and Tulare Lake Watershed, Fires, High winds and wildfires, Storm System, Wildfires, Wildfires, Drought, ","2023-03-01 00:00:00, 2023-02-01 00:00:00, 2023-01-01 00:00:00, 2022-12-27 00:00:00, 2021-10-01 00:00:00, 2021-10-01 00:00:00, 2021-05-10 00:00:00, 2020-08-01 00:00:00, 2019-10-27 00:00:00, 2017-01-01 00:00:00, 2015-07-01 00:00:00, 2015-06-01 00:00:00, 2014-01-01 00:00:00, "
